name,type,episodes,mal_link
Sousou no Frieren,TV,28,https://myanimelist.net/anime/52991/Sousou_no_Frieren
Fullmetal Alchemist: Brotherhood,TV,64,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Steins;Gate,TV,24,https://myanimelist.net/anime/9253/Steins_Gate
Gintama°,TV,51,https://myanimelist.net/anime/28977/Gintama°
Shingeki no Kyojin Season 3 Part 2,TV,10,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
Gintama: The Final,Movie,1,https://myanimelist.net/anime/39486/Gintama__The_Final
Hunter x Hunter (2011),TV,148,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Gintama',TV,51,https://myanimelist.net/anime/9969/Gintama
Bleach: Sennen Kessen-hen,TV,13,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
Ginga Eiyuu Densetsu,OVA,110,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
Gintama': Enchousen,TV,13,https://myanimelist.net/anime/15417/Gintama__Enchousen
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
Fruits Basket: The Final,TV,13,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Gintama.,TV,12,https://myanimelist.net/anime/34096/Gintama
Gintama,TV,201,https://myanimelist.net/anime/918/Gintama
Clannad: After Story,TV,24,https://myanimelist.net/anime/4181/Clannad__After_Story
Koe no Katachi,Movie,1,https://myanimelist.net/anime/28851/Koe_no_Katachi
3-gatsu no Lion 2nd Season,TV,22,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
Code Geass: Hangyaku no Lelouch R2,TV,25,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special,2,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
Monster,TV,74,https://myanimelist.net/anime/19/Monster
Owarimonogatari 2nd Season,Special,7,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
Violet Evergarden Movie,Movie,1,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
Jujutsu Kaisen 2nd Season,TV,23,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season
Kusuriya no Hitorigoto,TV,24,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
Kimi no Na wa.,Movie,1,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Kingdom 3rd Season,TV,26,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
Kingdom 5th Season,TV,,https://myanimelist.net/anime/53223/Kingdom_5th_Season
Vinland Saga Season 2,TV,24,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
Boku no Kokoro no Yabai Yatsu Season 2,TV,13,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_Season_2
Gintama.: Shirogane no Tamashii-hen,TV,12,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
Bocchi the Rock!,TV,12,https://myanimelist.net/anime/47917/Bocchi_the_Rock
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
Mob Psycho 100 II,TV,13,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Shingeki no Kyojin: The Final Season,TV,16,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
The First Slam Dunk,Movie,1,https://myanimelist.net/anime/45649/The_First_Slam_Dunk
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
Kizumonogatari III: Reiketsu-hen,Movie,1,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
Sen to Chihiro no Kamikakushi,Movie,1,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Shingeki no Kyojin: The Final Season Part 2,TV,12,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
Hajime no Ippo,TV,75,https://myanimelist.net/anime/263/Hajime_no_Ippo
Kimetsu no Yaiba: Yuukaku-hen,TV,11,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
Monogatari Series: Second Season,TV,26,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
Cowboy Bebop,TV,26,https://myanimelist.net/anime/1/Cowboy_Bebop
Vinland Saga,TV,24,https://myanimelist.net/anime/37521/Vinland_Saga
Kingdom 4th Season,TV,26,https://myanimelist.net/anime/50160/Kingdom_4th_Season
Mushishi Zoku Shou 2nd Season,TV,10,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
One Piece,TV,,https://myanimelist.net/anime/21/One_Piece
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
Ashita no Joe 2,TV,47,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
Mob Psycho 100 III,TV,12,https://myanimelist.net/anime/50172/Mob_Psycho_100_III
