name,type,episodes,mal_id
Sousou no Frieren,TV,28,52991
Fullmetal Alchemist: Brotherhood,TV,64,5114
Steins;Gate,TV,24,9253
Gintama°,TV,51,28977
Shingeki no Kyojin Season 3 Part 2,TV,10,38524
Gintama: The Final,Movie,1,39486
Hunter x Hunter (2011),TV,148,11061
Gintama',TV,51,9969
Bleach: Sennen Kessen-hen,TV,13,41467
Ginga Eiyuu Densetsu,OVA,110,820
Gintama': Enchousen,TV,13,15417
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,43608
Fruits Basket: The Final,TV,13,42938
Gintama.,TV,12,34096
Gintama,TV,201,918
Clannad: After Story,TV,24,4181
Koe no Katachi,Movie,1,28851
Kusuriya no Hitorigoto,TV,24,54492
3-gatsu no Lion 2nd Season,TV,22,35180
Code Geass: Hangyaku no Lelouch R2,TV,25,2904
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special,2,51535
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,15335
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,37491
Monster,TV,74,19
Owarimonogatari 2nd Season,Special,7,35247
Violet Evergarden Movie,Movie,1,37987
Jujutsu Kaisen 2nd Season,TV,23,51009
Kimi no Na wa.,Movie,1,32281
Kingdom 3rd Season,TV,26,40682
Kingdom 5th Season,TV,13,53223
Vinland Saga Season 2,TV,24,49387
Gintama.: Shirogane no Tamashii-hen,TV,12,36838
Boku no Kokoro no Yabai Yatsu Season 2,TV,13,55690
Bocchi the Rock!,TV,12,47917
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,52198
Mob Psycho 100 II,TV,13,37510
Shingeki no Kyojin: The Final Season,TV,16,40028
The First Slam Dunk,Movie,1,45649
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,32935
Kizumonogatari III: Reiketsu-hen,Movie,1,31758
Sen to Chihiro no Kamikakushi,Movie,1,199
Shingeki no Kyojin: The Final Season Part 2,TV,12,48583
Hajime no Ippo,TV,75,263
Kimetsu no Yaiba: Yuukaku-hen,TV,11,47778
Monogatari Series: Second Season,TV,26,17074
Cowboy Bebop,TV,26,1
Vinland Saga,TV,24,37521
Kingdom 4th Season,TV,26,50160
Mushishi Zoku Shou 2nd Season,TV,10,24701
Ashita no Joe 2,TV,47,2921
One Piece,TV,,21
Mob Psycho 100 III,TV,12,50172
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,33095
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,44
86 Part 2,TV,12,48569
Code Geass: Hangyaku no Lelouch,TV,25,1575
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13,53998
Great Teacher Onizuka,TV,43,245
Tian Guan Cifu Er,ONA,12,50399
Mushishi Zoku Shou,TV,10,21939
Shiguang Dailiren,ONA,11,44074
"""Oshi no Ko""",TV,11,52034
Hajime no Ippo: New Challenger,TV,26,5258
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,45576
Odd Taxi,TV,13,46102
Violet Evergarden,TV,13,33352
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,33050
Howl no Ugoku Shiro,Movie,1,431
Mononoke Hime,Movie,1,164
Mushishi,TV,26,457
Made in Abyss,TV,13,34599
Bungou Stray Dogs 5th Season,TV,11,54898
Made in Abyss: Retsujitsu no Ougonkyou,TV,12,41084
Natsume Yuujinchou Shi,TV,13,11665
Shigatsu wa Kimi no Uso,TV,22,23273
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,40591
Tengen Toppa Gurren Lagann,TV,27,2001
Haikyuu!! Second Season,TV,25,28891
Death Note,TV,37,1535
Natsume Yuujinchou Roku,TV,11,34591
Ping Pong the Animation,TV,11,22135
Shingeki no Kyojin Season 3,TV,12,35760
Jujutsu Kaisen,TV,24,40748
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,36862
Suzumiya Haruhi no Shoushitsu,Movie,1,7311
Cyberpunk: Edgerunners,ONA,10,42310
Hajime no Ippo: Rising,TV,25,19647
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,40456
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,28957
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,38329
Shin Evangelion Movie: ||,Movie,1,3786
Kenpuu Denki Berserk,TV,25,33
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,4565
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,37991
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,53273
Kizumonogatari II: Nekketsu-hen,Movie,1,31757
Natsume Yuujinchou Go,TV,11,32983
Natsume Yuujinchou San,TV,13,10379
Ookami Kodomo no Ame to Yuki,Movie,1,12355
Shouwa Genroku Rakugo Shinjuu,TV,13,28735
Yojouhan Shinwa Taikei,TV,11,7785
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,32
Slam Dunk,TV,101,170
Kimi no Suizou wo Tabetai,Movie,1,36098
Nana,TV,47,877
Fate/Zero 2nd Season,TV,12,11741
Haikyuu!! To the Top Part 2,TV,12,40776
Fruits Basket 2nd Season,TV,25,40417
Shingeki no Kyojin,TV,25,16498
Shoujo☆Kageki Revue Starlight Movie,Movie,1,40664
Spy x Family,TV,12,50265
Zoku Natsume Yuujinchou,TV,13,5300
Perfect Blue,Movie,1,437
Mushishi: Hihamukage,Special,1,21329
Bakuman. 3rd Season,TV,25,12365
Steins;Gate 0,TV,23,30484
Sora yori mo Tooi Basho,TV,13,35839
Yuru Camp△ Season 2,TV,13,38474
Kara no Kyoukai Movie 5: Mujun Rasen,Movie,1,4282
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,801
Ousama Ranking,TV,23,40834
Pluto,ONA,8,35737
Chainsaw Man,TV,12,44511
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,7472
Gintama.: Porori-hen,TV,13,35843
Hotaru no Haka,Movie,1,578
Shingeki no Kyojin Season 2,TV,12,25777
Samurai Champloo,TV,26,205
One Punch Man,TV,12,30276
Shiguang Dailiren II,ONA,12,49413
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,31933
Yakusoku no Neverland,TV,12,37779
Summertime Render,TV,25,47194
Uchuu Kyoudai,TV,99,12431
Mob Psycho 100,TV,12,32182
